epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/masked_tokens,train/variance_explained,val/effective_rank,val/loss,val/masked_tokens,val/rank_ceiling,val/rank_fraction,val/variance_explained
16,,,611,,,,,5.0,0.9067134857177734,144.0,21.0,0.2380952388048172,0.09328649938106537
16,,,611,0.8261593580245972,,144.0,0.17384064197540283,,,,,,
,2.955492717807519e-05,2.955492717807519e-05,619,,,,,,,,,,
17,,,619,,0.8822422027587891,,,,,,,,
,2.9392604013437803e-05,2.9392604013437803e-05,639,,,,,,,,,,
17,,,639,,0.8783007264137268,,,,,,,,
17,,,647,,,,,5.0,0.9085571765899658,144.0,21.0,0.2380952388048172,0.09144280850887299
17,,,647,0.8219247460365295,,144.0,0.17807537317276,,,,,,
,2.922334844556844e-05,2.922334844556844e-05,659,,,,,,,,,,
18,,,659,,0.7786312103271484,,,,,,,,
,2.9047245699742647e-05,2.9047245699742647e-05,679,,,,,,,,,,
18,,,679,,0.8891839981079102,,,,,,,,
18,,,683,,,,,4.0,0.9096869230270386,144.0,21.0,0.190476194024086,0.09031304717063904
18,,,683,0.83002769947052,,144.0,0.16997240483760834,,,,,,
,2.886438444899628e-05,2.886438444899628e-05,699,,,,,,,,,,
19,,,699,,0.787253201007843,,,,,,,,
,2.8674856769475953e-05,2.8674856769475953e-05,719,,,,,,,,,,
19,,,719,,0.8476081490516663,,,,,,,,
19,,,719,,,,,5.0,0.8982199430465698,144.0,21.0,0.2380952388048172,0.10178002715110779
19,,,719,0.8287371397018433,,144.0,0.17126289010047913,,,,,,
,2.8478758094075935e-05,2.8478758094075935e-05,739,,,,,,,,,,
20,,,739,,0.8229708671569824,,,,,,,,
20,,,755,,,,,4.0,0.9131861925125122,144.0,21.0,0.190476194024086,0.0868137925863266
20,,,755,0.8228777050971985,,144.0,0.17712238430976868,,,,,,
,2.8276187164384792e-05,2.8276187164384792e-05,759,,,,,,,,,,
21,,,759,,0.703626811504364,,,,,,,,
,2.8067245980966042e-05,2.8067245980966042e-05,779,,,,,,,,,,
21,,,779,,0.8262495398521423,,,,,,,,
21,,,791,,,,,4.0,0.9068232774734497,144.0,21.0,0.190476194024086,0.0931766927242279
21,,,791,0.8230634927749634,,144.0,0.17693650722503662,,,,,,
,2.7852039751997806e-05,2.7852039751997806e-05,799,,,,,,,,,,
22,,,799,,0.6977060437202454,,,,,,,,
,2.7630676840297298e-05,2.7630676840297298e-05,819,,,,,,,,,,
22,,,819,,0.8557388186454773,,,,,,,,
22,,,827,,,,,4.0,0.9042178392410278,144.0,21.0,0.190476194024086,0.09578217566013336
22,,,827,0.819847047328949,,144.0,0.1801529973745346,,,,,,
,2.74032687087569e-05,2.74032687087569e-05,839,,,,,,,,,,
23,,,839,,0.7675886750221252,,,,,,,,
,2.7169929864219234e-05,2.7169929864219234e-05,859,,,,,,,,,,
23,,,859,,0.8026869893074036,,,,,,,,
23,,,863,,,,,5.0,0.906436562538147,144.0,21.0,0.2380952388048172,0.09356344491243362
23,,,863,0.8177022337913513,,144.0,0.18229776620864868,,,,,,
,2.693077779981952e-05,2.693077779981952e-05,879,,,,,,,,,,
24,,,879,,0.76593416929245,,,,,,,,
,2.6685932935824252e-05,2.6685932935824252e-05,899,,,,,,,,,,
24,,,899,,0.8569865226745605,,,,,,,,
24,,,899,,,,,5.0,0.9034361839294434,144.0,21.0,0.2380952388048172,0.09656375646591187
24,,,899,0.8190723061561584,,144.0,0.1809278130531311,,,,,,
,2.6435518558995945e-05,2.6435518558995945e-05,919,,,,,,,,,,
25,,,919,,0.8218844532966614,,,,,,,,
25,,,935,,,,,5.0,0.9077026844024658,144.0,21.0,0.2380952388048172,0.09229733049869537
25,,,935,0.8181285858154297,,144.0,0.1818714737892151,,,,,,
,2.617966076051456e-05,2.617966076051456e-05,939,,,,,,,,,,
26,,,939,,0.7728531956672668,,,,,,,,
,2.591848837248678e-05,2.591848837248678e-05,959,,,,,,,,,,
26,,,959,,0.8055825233459473,,,,,,,,
26,,,971,,,,,5.0,0.9069560766220093,144.0,21.0,0.2380952388048172,0.09304390847682953
26,,,971,0.8216545581817627,,144.0,0.1783454567193985,,,,,,
,2.5652132903075194e-05,2.5652132903075194e-05,979,,,,,,,,,,
27,,,979,,0.7272742390632629,,,,,,,,
,2.5380728470279932e-05,2.5380728470279932e-05,999,,,,,,,,,,
27,,,999,,0.9144924283027649,,,,,,,,
27,,,1007,,,,,4.0,0.8992205262184143,144.0,21.0,0.190476194024086,0.1007794663310051
27,,,1007,0.8184855580329895,,144.0,0.18151439726352692,,,,,,
